cep,localidade,id_municipio,nome_municipio,sigla_uf
04576000,Campo Belo,3550308,São Paulo,SP
04617003,Campo Belo,3550308,São Paulo,SP
04752040,Santo Amaro,3550308,São Paulo,SP
04617006,Campo Belo,3550308,São Paulo,SP
04611001,Campo Belo,3550308,São Paulo,SP
04605002,Campo Belo,3550308,São Paulo,SP
04753060,Santo Amaro,3550308,São Paulo,SP
04754030,Santo Amaro,3550308,São Paulo,SP
04702001,Santo Amaro,3550308,São Paulo,SP
04615040,Campo Belo,3550308,São Paulo,SP
04619033,Campo Belo,3550308,São Paulo,SP
04609004,Campo Belo,3550308,São Paulo,SP
04615003,Campo Belo,3550308,São Paulo,SP
04613000,Campo Belo,3550308,São Paulo,SP
04612000,Campo Belo,3550308,São Paulo,SP
04701100,Santo Amaro,3550308,São Paulo,SP
04737040,Santo Amaro,3550308,São Paulo,SP
04753050,Santo Amaro,3550308,São Paulo,SP
04624070,Campo Belo,3550308,São Paulo,SP
04746020,Santo Amaro,3550308,São Paulo,SP
04744060,Santo Amaro,3550308,São Paulo,SP
04730000,Santo Amaro,3550308,São Paulo,SP
04615020,Campo Belo,3550308,São Paulo,SP
04746040,Santo Amaro,3550308,São Paulo,SP
04728210,Santo Amaro,3550308,São Paulo,SP
04752070,Santo Amaro,3550308,São Paulo,SP
04736002,Santo Amaro,3550308,São Paulo,SP
04617007,Campo Belo,3550308,São Paulo,SP
04611002,Campo Belo,3550308,São Paulo,SP
04610011,Campo Belo,3550308,São Paulo,SP
04359000,Campo Belo,3550308,São Paulo,SP
04728110,Santo Amaro,3550308,São Paulo,SP
04662070,Santo Amaro,3550308,São Paulo,SP
04729020,Santo Amaro,3550308,São Paulo,SP
04607030,Campo Belo,3550308,São Paulo,SP
04746080,Santo Amaro,3550308,São Paulo,SP
04728120,Santo Amaro,3550308,São Paulo,SP
04741178,Santo Amaro,3550308,São Paulo,SP
04637030,Campo Belo,3550308,São Paulo,SP
04613050,Campo Belo,3550308,São Paulo,SP
04618050,Campo Belo,3550308,São Paulo,SP
04743001,Santo Amaro,3550308,São Paulo,SP
04745080,Santo Amaro,3550308,São Paulo,SP
04733400,Santo Amaro,3550308,São Paulo,SP
04620013,Campo Belo,3550308,São Paulo,SP
04612110,Campo Belo,3550308,São Paulo,SP
04709070,Santo Amaro,3550308,São Paulo,SP
04620012,Campo Belo,3550308,São Paulo,SP
04619040,Campo Belo,3550308,São Paulo,SP
04601060,Campo Belo,3550308,São Paulo,SP
04613070,Campo Belo,3550308,São Paulo,SP
04746115,Santo Amaro,3550308,São Paulo,SP
04741060,Santo Amaro,3550308,São Paulo,SP
04624060,Campo Belo,3550308,São Paulo,SP
04602005,Campo Belo,3550308,São Paulo,SP
04619030,Campo Belo,3550308,São Paulo,SP
04610050,Campo Belo,3550308,São Paulo,SP
04601042,Campo Belo,3550308,São Paulo,SP
04623050,Campo Belo,3550308,São Paulo,SP
04602050,Campo Belo,3550308,São Paulo,SP
04740900,Santo Amaro,3550308,São Paulo,SP
04733100,Santo Amaro,3550308,São Paulo,SP
04625010,Campo Belo,3550308,São Paulo,SP
04617030,Campo Belo,3550308,São Paulo,SP
04608003,Campo Belo,3550308,São Paulo,SP
04708001,Santo Amaro,3550308,São Paulo,SP
04614014,Campo Belo,3550308,São Paulo,SP
04726250,Santo Amaro,3550308,São Paulo,SP
04617070,Campo Belo,3550308,São Paulo,SP
04754080,Santo Amaro,3550308,São Paulo,SP
04747110,Santo Amaro,3550308,São Paulo,SP
04746030,Santo Amaro,3550308,São Paulo,SP
04612120,Campo Belo,3550308,São Paulo,SP
04754070,Santo Amaro,3550308,São Paulo,SP
04794000,Santo Amaro,3550308,São Paulo,SP
04662000,Santo Amaro,3550308,São Paulo,SP
04744050,Santo Amaro,3550308,São Paulo,SP
04740000,Santo Amaro,3550308,São Paulo,SP
04609002,Campo Belo,3550308,São Paulo,SP
04728070,Santo Amaro,3550308,São Paulo,SP
04610020,Campo Belo,3550308,São Paulo,SP
04614030,Campo Belo,3550308,São Paulo,SP
04616020,Campo Belo,3550308,São Paulo,SP
04624112,Campo Belo,3550308,São Paulo,SP
04753110,Santo Amaro,3550308,São Paulo,SP
04613002,Campo Belo,3550308,São Paulo,SP
04603002,Campo Belo,3550308,São Paulo,SP
04752005,Santo Amaro,3550308,São Paulo,SP
04622001,Campo Belo,3550308,São Paulo,SP
04611030,Campo Belo,3550308,São Paulo,SP
04619004,Campo Belo,3550308,São Paulo,SP
04627005,Campo Belo,3550308,São Paulo,SP
04611010,Campo Belo,3550308,São Paulo,SP
04355090,Campo Belo,3550308,São Paulo,SP
04755050,Santo Amaro,3550308,São Paulo,SP
04609000,Campo Belo,3550308,São Paulo,SP
04754010,Santo Amaro,3550308,São Paulo,SP
04619005,Campo Belo,3550308,São Paulo,SP
04745040,Santo Amaro,3550308,São Paulo,SP
04709110,Santo Amaro,3550308,São Paulo,SP
04746010,Santo Amaro,3550308,São Paulo,SP
04625030,Campo Belo,3550308,São Paulo,SP
04747020,Santo Amaro,3550308,São Paulo,SP
04614050,Campo Belo,3550308,São Paulo,SP
04741070,Santo Amaro,3550308,São Paulo,SP
04614012,Campo Belo,3550308,São Paulo,SP
04608000,Campo Belo,3550308,São Paulo,SP
04603004,Campo Belo,3550308,São Paulo,SP
04610010,Campo Belo,3550308,São Paulo,SP
04747050,Santo Amaro,3550308,São Paulo,SP
04617000,Campo Belo,3550308,São Paulo,SP
04624100,Campo Belo,3550308,São Paulo,SP
04612090,Campo Belo,3550308,São Paulo,SP
04605000,Campo Belo,3550308,São Paulo,SP
04748060,Santo Amaro,3550308,São Paulo,SP
04625005,Campo Belo,3550308,São Paulo,SP
04634030,Campo Belo,3550308,São Paulo,SP
04752050,Santo Amaro,3550308,São Paulo,SP
04613020,Campo Belo,3550308,São Paulo,SP
04635040,Campo Belo,3550308,São Paulo,SP
04736900,Santo Amaro,3550308,São Paulo,SP
04752060,Santo Amaro,3550308,São Paulo,SP
04612100,Campo Belo,3550308,São Paulo,SP
04752010,Santo Amaro,3550308,São Paulo,SP
04620010,Campo Belo,3550308,São Paulo,SP
